"","Distribution","variable","value"
"1","t3","Perm",0.1
"2","t5","Perm",0.2
"3","exp","Perm",0
"4","logis","Perm",0.1
"5","norm","Perm",0
"6","unif","Perm",0.2
"7","laplace","Perm",0
"8","t3","wmw",0
"9","t5","wmw",0.3
"10","exp","wmw",0
"11","logis","wmw",0.1
"12","norm","wmw",0
"13","unif","wmw",0.2
"14","laplace","wmw",0
"15","t3","t",0.1
"16","t5","t",0.3
"17","exp","t",0
"18","logis","t",0.1
"19","norm","t",0
"20","unif","t",0.2
"21","laplace","t",0
