"","Distribution","variable","value"
"1","t3","Perm",0.43
"2","t5","Perm",0.55
"3","exp","Perm",0.71
"4","logis","Perm",0.27
"5","norm","Perm",0.54
"6","unif","Perm",1
"7","laplace","Perm",0.48
"8","t3","wmw",0.41
"9","t5","wmw",0.57
"10","exp","wmw",0.85
"11","logis","wmw",0.28
"12","norm","wmw",0.66
"13","unif","wmw",1
"14","laplace","wmw",0.5
"15","t3","t",0.35
"16","t5","t",0.46
"17","exp","t",0.69
"18","logis","t",0.27
"19","norm","t",0.69
"20","unif","t",1
"21","laplace","t",0.48
