"","Distribution","variable","value"
"1","t3","Perm",0.22
"2","t5","Perm",0.2
"3","exp","Perm",0.47
"4","logis","Perm",0.17
"5","norm","Perm",0.37
"6","unif","Perm",0.99
"7","laplace","Perm",0.26
"8","t3","wmw",0.22
"9","t5","wmw",0.21
"10","exp","wmw",0.53
"11","logis","wmw",0.14
"12","norm","wmw",0.44
"13","unif","wmw",1
"14","laplace","wmw",0.19
"15","t3","t",0.18
"16","t5","t",0.21
"17","exp","t",0.36
"18","logis","t",0.12
"19","norm","t",0.47
"20","unif","t",1
"21","laplace","t",0.15
