"","Distribution","variable","value"
"1","t3","Perm",0.237
"2","t5","Perm",0.255
"3","exp","Perm",0.478
"4","logis","Perm",0.141
"5","norm","Perm",0.291
"6","unif","Perm",0.98
"7","laplace","Perm",0.27
"8","t3","wmw",0.234
"9","t5","wmw",0.25
"10","exp","wmw",0.584
"11","logis","wmw",0.162
"12","norm","wmw",0.327
"13","unif","wmw",1
"14","laplace","wmw",0.261
"15","t3","t",0.194
"16","t5","t",0.233
"17","exp","t",0.402
"18","logis","t",0.157
"19","norm","t",0.35
"20","unif","t",1
"21","laplace","t",0.211
