"","Distribution","variable","value"
"1","t3","Perm",0.049
"2","t5","Perm",0.061
"3","exp","Perm",0.051
"4","logis","Perm",0.037
"5","norm","Perm",0.064
"6","unif","Perm",0.062
"7","laplace","Perm",0.043
"8","t3","wmw",0.049
"9","t5","wmw",0.063
"10","exp","wmw",0.04
"11","logis","wmw",0.05
"12","norm","wmw",0.057
"13","unif","wmw",0.055
"14","laplace","wmw",0.042
"15","t3","t",0.044
"16","t5","t",0.061
"17","exp","t",0.048
"18","logis","t",0.051
"19","norm","t",0.057
"20","unif","t",0.057
"21","laplace","t",0.042
