"","Distribution","variable","value"
"1","t3","Perm",0.4
"2","t5","Perm",0.5
"3","exp","Perm",0.9
"4","logis","Perm",0.1
"5","norm","Perm",0.5
"6","unif","Perm",1
"7","laplace","Perm",0.5
"8","t3","wmw",0.5
"9","t5","wmw",0.5
"10","exp","wmw",1
"11","logis","wmw",0.1
"12","norm","wmw",0.8
"13","unif","wmw",1
"14","laplace","wmw",0.5
"15","t3","t",0.4
"16","t5","t",0.5
"17","exp","t",0.8
"18","logis","t",0.1
"19","norm","t",0.7
"20","unif","t",1
"21","laplace","t",0.5
