"","Distribution","variable","value"
"1","t3","Perm",0.437
"2","t5","Perm",0.442
"3","exp","Perm",0.764
"4","logis","Perm",0.252
"5","norm","Perm",0.56
"6","unif","Perm",1
"7","laplace","Perm",0.511
"8","t3","wmw",0.436
"9","t5","wmw",0.468
"10","exp","wmw",0.813
"11","logis","wmw",0.258
"12","norm","wmw",0.619
"13","unif","wmw",1
"14","laplace","wmw",0.502
"15","t3","t",0.369
"16","t5","t",0.417
"17","exp","t",0.632
"18","logis","t",0.254
"19","norm","t",0.657
"20","unif","t",1
"21","laplace","t",0.396
