"","Distribution","variable","value"
"1","t3","med",0.5775
"2","t5","med",0.365
"3","exp","med",0.51
"4","logis","med",0.3675
"5","norm","med",0.3125
"6","unif","med",0.205
"7","laplace","med",0.4525
"8","t3","wmw",0.575
"9","t5","wmw",0.37
"10","exp","wmw",0.62
"11","logis","wmw",0.3925
"12","norm","wmw",0.345
"13","unif","wmw",0.305
"14","laplace","wmw",0.45
"15","t3","t",0.4375
"16","t5","t",0.335
"17","exp","t",0.425
"18","logis","t",0.385
"19","norm","t",0.37
"20","unif","t",0.3325
"21","laplace","t",0.3725
