"","Distribution","variable","value"
"1","t3","med",1
"2","t5","med",0.6
"3","exp","med",0.75
"4","logis","med",0.55
"5","norm","med",0.5
"6","unif","med",0.35
"7","laplace","med",0.6
"8","t3","wmw",1
"9","t5","wmw",0.7
"10","exp","wmw",0.8
"11","logis","wmw",0.65
"12","norm","wmw",0.55
"13","unif","wmw",0.6
"14","laplace","wmw",0.5
"15","t3","t",0.8
"16","t5","t",0.7
"17","exp","t",0.6
"18","logis","t",0.6
"19","norm","t",0.6
"20","unif","t",0.7
"21","laplace","t",0.5
