"","Distribution","variable","value"
"1","t3","med",0.521
"2","t5","med",0.374
"3","exp","med",0.461
"4","logis","med",0.324
"5","norm","med",0.265
"6","unif","med",0.2
"7","laplace","med",0.445
"8","t3","wmw",0.543
"9","t5","wmw",0.391
"10","exp","wmw",0.587
"11","logis","wmw",0.352
"12","norm","wmw",0.296
"13","unif","wmw",0.331
"14","laplace","wmw",0.439
"15","t3","t",0.429
"16","t5","t",0.366
"17","exp","t",0.397
"18","logis","t",0.339
"19","norm","t",0.324
"20","unif","t",0.342
"21","laplace","t",0.353
