"","Distribution","variable","value"
"1","t3","med",0.037
"2","t5","med",0.048
"3","exp","med",0.052
"4","logis","med",0.057
"5","norm","med",0.044
"6","unif","med",0.05
"7","laplace","med",0.062
"8","t3","wmw",0.038
"9","t5","wmw",0.044
"10","exp","wmw",0.062
"11","logis","wmw",0.049
"12","norm","wmw",0.044
"13","unif","wmw",0.046
"14","laplace","wmw",0.046
"15","t3","t",0.053
"16","t5","t",0.046
"17","exp","t",0.045
"18","logis","t",0.054
"19","norm","t",0.052
"20","unif","t",0.05
"21","laplace","t",0.053
