"","Distribution","variable","value"
"1","t3","med",0.0425
"2","t5","med",0.06
"3","exp","med",0.055
"4","logis","med",0.0425
"5","norm","med",0.0625
"6","unif","med",0.0425
"7","laplace","med",0.055
"8","t3","wmw",0.05
"9","t5","wmw",0.0525
"10","exp","wmw",0.0575
"11","logis","wmw",0.0525
"12","norm","wmw",0.065
"13","unif","wmw",0.045
"14","laplace","wmw",0.0575
"15","t3","t",0.0525
"16","t5","t",0.0525
"17","exp","t",0.0575
"18","logis","t",0.045
"19","norm","t",0.0725
"20","unif","t",0.0475
"21","laplace","t",0.05
