"","Distribution","variable","value"
"1","t3","Perm",0.2
"2","t5","Perm",0.4
"3","exp","Perm",0.4
"4","logis","Perm",0.1
"5","norm","Perm",0.3
"6","unif","Perm",0.9
"7","laplace","Perm",0.3
"8","t3","wmw",0.1
"9","t5","wmw",0.5
"10","exp","wmw",0.6
"11","logis","wmw",0.2
"12","norm","wmw",0.4
"13","unif","wmw",1
"14","laplace","wmw",0.3
"15","t3","t",0.1
"16","t5","t",0.3
"17","exp","t",0.5
"18","logis","t",0.2
"19","norm","t",0.2
"20","unif","t",1
"21","laplace","t",0.2
