"","Distribution","variable","value"
"1","t3","med",0.4
"2","t5","med",0.45
"3","exp","med",0.35
"4","logis","med",0.35
"5","norm","med",0.3
"6","unif","med",0.25
"7","laplace","med",0.5
"8","t3","wmw",0.35
"9","t5","wmw",0.55
"10","exp","wmw",0.45
"11","logis","wmw",0.25
"12","norm","wmw",0.3
"13","unif","wmw",0.25
"14","laplace","wmw",0.45
"15","t3","t",0.15
"16","t5","t",0.55
"17","exp","t",0.25
"18","logis","t",0.35
"19","norm","t",0.3
"20","unif","t",0.3
"21","laplace","t",0.4
