"","Distribution","variable","value"
"1","t3","med",0.846
"2","t5","med",0.633
"3","exp","med",0.723
"4","logis","med",0.584
"5","norm","med",0.468
"6","unif","med",0.329
"7","laplace","med",0.766
"8","t3","wmw",0.847
"9","t5","wmw",0.677
"10","exp","wmw",0.862
"11","logis","wmw",0.646
"12","norm","wmw",0.556
"13","unif","wmw",0.59
"14","laplace","wmw",0.734
"15","t3","t",0.677
"16","t5","t",0.611
"17","exp","t",0.638
"18","logis","t",0.633
"19","norm","t",0.581
"20","unif","t",0.619
"21","laplace","t",0.604
