"","Distribution","variable","value"
"1","t3","med",0.051
"2","t5","med",0.052
"3","exp","med",0.053
"4","logis","med",0.052
"5","norm","med",0.056
"6","unif","med",0.067
"7","laplace","med",0.038
"8","t3","wmw",0.056
"9","t5","wmw",0.052
"10","exp","wmw",0.055
"11","logis","wmw",0.058
"12","norm","wmw",0.05
"13","unif","wmw",0.066
"14","laplace","wmw",0.037
"15","t3","t",0.058
"16","t5","t",0.051
"17","exp","t",0.052
"18","logis","t",0.061
"19","norm","t",0.059
"20","unif","t",0.069
"21","laplace","t",0.048
