"","Distribution","variable","value"
"1","t3","Perm",0.049
"2","t5","Perm",0.052
"3","exp","Perm",0.068
"4","logis","Perm",0.051
"5","norm","Perm",0.052
"6","unif","Perm",0.042
"7","t3","wmw",0.039
"8","t5","wmw",0.051
"9","exp","wmw",0.058
"10","logis","wmw",0.049
"11","norm","wmw",0.048
"12","unif","wmw",0.045
"13","t3","t",0.043
"14","t5","t",0.049
"15","exp","t",0.051
"16","logis","t",0.046
"17","norm","t",0.042
"18","unif","t",0.045
