"","Distribution","variable","value"
"1","t3","Perm",0.424
"2","t5","Perm",0.486
"3","exp","Perm",0.783
"4","logis","Perm",0.256
"5","norm","Perm",0.512
"6","unif","Perm",1
"7","t3","wmw",0.423
"8","t5","wmw",0.524
"9","exp","wmw",0.856
"10","logis","wmw",0.26
"11","norm","wmw",0.594
"12","unif","wmw",1
"13","t3","t",0.346
"14","t5","t",0.475
"15","exp","t",0.664
"16","logis","t",0.251
"17","norm","t",0.631
"18","unif","t",1
